Iteration No,Rd,Ibias,L,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,297.7990229320239,0.002270905558333045,6.419109263518597e-08,3.056748841963367e-05,3.4914540649047915e-05,10542.625780674603,16644.915992331706,28522.871148982314,2.9893719999999998e-12,2.9932960000000003e-12,5.290984117373749e-11,0.30001713618810655,1000000000.0,1010000000.0,0,27,
2,302.4369136084943,0.0021902168658021995,6.70585344749306e-08,3.5339632278049573e-05,3.6329830307766414e-05,10542.625780674603,16804.529618614157,28231.35289390397,2.9893719999999998e-12,2.9932960000000003e-12,1.7353267036525022e-11,0.3249031907088528,1000000000.0,1010000000.0,0,27,
3,304.9694888349529,0.002133782772408773,6.917093614250933e-08,4.03381156980657e-05,3.7153344918980884e-05,10542.625780674603,17098.453830669027,27718.57505670132,2.9893719999999998e-12,2.9932960000000003e-12,1.7309659057203746e-11,0.33748438620016125,1000000000.0,1010000000.0,0,27,
4,307.3885326166439,0.002095001385247925,7.104528169030251e-08,4.485786000481567e-05,3.784778492364078e-05,10542.625780674603,17379.64734205672,27191.70287787823,2.9893719999999998e-12,2.9932960000000003e-12,1.7274650072810878e-11,0.3473448887777944,1000000000.0,1010000000.0,0,27,
5,309.4412229268836,0.0020569621299887796,7.29026697775868e-08,4.9751592974014046e-05,3.864393499380242e-05,10542.625780674603,17692.862438606746,26672.143682706865,2.9893719999999998e-12,2.9932960000000003e-12,1.7243354969602965e-11,0.35397759133792567,1000000000.0,1010000000.0,0,27,
6,308.1762045598259,0.0020527090246212805,7.244595889575899e-08,5.214317429250498e-05,3.9256947505167226e-05,10542.625780674603,17546.870286591868,26901.24150462211,2.9893719999999998e-12,2.9932960000000003e-12,1.7203521497616618e-11,0.3691349127006063,1000000000.0,1010000000.0,0,27,
7,306.4543126712277,0.002050567974103774,7.190888253681615e-08,5.44694573746831e-05,3.981905296753426e-05,10542.625780674603,17416.09878223378,27093.3080984079,2.9893719999999998e-12,2.9932960000000003e-12,1.7179534458128355e-11,0.3818488879120767,1000000000.0,1010000000.0,0,27,
8,303.9847742774046,0.002048867605429298,7.133769789560691e-08,5.66988302405525e-05,4.0358793728494804e-05,10542.625780674603,17307.634575015396,27255.619224604416,2.9893719999999998e-12,2.9932960000000003e-12,1.7158291939196378e-11,0.3936238134853176,1000000000.0,1010000000.0,0,27,
9,292.9470879063942,0.0019928397342461567,6.669021554203397e-08,5.671263529828491e-05,3.966013806516156e-05,10542.625780674603,16117.246863112692,26607.01493099643,2.9893719999999998e-12,2.9932960000000003e-12,1.6109832861102375e-11,0.3864081872912386,1000000000.0,1010000000.0,0,27,
10,269.2534246819195,0.001894149393787678,6.10016923671721e-08,5.4134853986901926e-05,3.7332502386770105e-05,10542.625780674603,14447.141541983532,25016.666369203504,2.9893719999999998e-12,2.9932960000000003e-12,1.4638651836396546e-11,0.3639202051964296,1000000000.0,1010000000.0,0,27,
11,279.92929572541254,0.0018843371265858159,6.951949003907868e-08,5.805885446962977e-05,3.8123029715916686e-05,10542.625780674603,14725.027420492124,24678.029076002364,2.9893719999999998e-12,2.9932960000000003e-12,1.462175129907312e-11,0.37167297353171375,1000000000.0,1010000000.0,0,27,
12,279.31388867271363,0.0018866343888848303,6.950247612332318e-08,6.050356215794064e-05,3.8657988650368026e-05,10542.625780674603,14612.773699734495,24845.148859517132,2.9893719999999998e-12,2.9932960000000003e-12,1.459942038828508e-11,0.3857394376669139,1000000000.0,1010000000.0,0,27,
13,280.8483541883929,0.001775320489863074,6.566790016632267e-08,6.0360237892698506e-05,3.82781680923092e-05,10542.625780674603,15106.128217383262,23968.849559413582,2.9893719999999998e-12,2.9932960000000003e-12,1.459942038828508e-11,0.37058420000000003,1000000000.0,1010000000.0,0,27,
14,281.2008908124913,0.0017805566664589965,6.630588356947287e-08,6.221468041492743e-05,3.891972518846708e-05,10542.625780674603,14942.381531987852,24216.371282154465,2.9893719999999998e-12,2.9932960000000003e-12,1.4584178383336664e-11,0.39267699549257234,1000000000.0,1010000000.0,0,27,
15,282.67922688359903,0.0016747656326251015,6.28252193229683e-08,6.212450348812015e-05,3.854473545004379e-05,10542.625780674603,15608.869800596276,23411.528653912595,2.9893719999999998e-12,2.9932960000000003e-12,1.4584178383336664e-11,0.3818064,1000000000.0,1010000000.0,0,27,
16,283.52459910710735,0.001682328569402358,6.390810976852581e-08,6.380308686411991e-05,3.918981918554064e-05,10542.625780674603,15424.364205884045,23752.923560566127,2.9893719999999998e-12,2.9932960000000003e-12,1.4569458871604452e-11,0.4081060349891789,1000000000.0,1010000000.0,0,27,
17,285.0523230099037,0.0016007576627312824,6.084081404078165e-08,6.358597728961041e-05,3.88313702479217e-05,10542.625780674603,16078.778935984212,22949.40178433479,2.9893719999999998e-12,2.9932960000000003e-12,1.4569458871604452e-11,0.39390499999999995,1000000000.0,1010000000.0,0,27,
18,286.20436663894804,0.001608671297527575,6.147368035490448e-08,6.40913044581975e-05,3.9093689543718e-05,10542.625780674603,15802.367665802263,23150.09956772086,2.9893719999999998e-12,2.9932960000000003e-12,1.455421321365922e-11,0.3975700447142037,1000000000.0,1010000000.0,0,27,
19,288.0729452470463,0.0015367398723849072,6e-08,6.397843283076633e-05,3.878988896086655e-05,10542.625780674603,16453.27672910608,22337.196518572186,2.9893719999999998e-12,2.9932960000000003e-12,1.455421321365922e-11,0.3975700447142037,1000000000.0,1010000000.0,0,27,
20,289.30907888690905,0.001546981584387694,6.219919578775621e-08,6.595369993512468e-05,3.9482215692231836e-05,10542.625780674603,16183.020954553105,22618.385804914564,2.9893719999999998e-12,2.9932960000000003e-12,1.4537295985869637e-11,0.4158186865597856,1000000000.0,1010000000.0,0,27,
21,290.71471186082084,0.001492686289183054,6e-08,6.575500952477731e-05,3.919415651273695e-05,10542.625780674603,16743.522409007805,21859.12639264854,2.9893719999999998e-12,2.9932960000000003e-12,1.4537295985869637e-11,0.4158186865597856,1000000000.0,1010000000.0,0,27,
22,291.984504739298,0.0014374487387853407,6e-08,6.555928623932743e-05,3.890779755295432e-05,10542.625780674603,17593.5591094072,21055.478931302096,2.9893719999999998e-12,2.9932960000000003e-12,1.4537295985869637e-11,0.4158186865597856,1000000000.0,1010000000.0,0,27,
23,292.65831822210004,0.001447979114805127,6.154652294451878e-08,6.740880589054631e-05,3.956891258125803e-05,10542.625780674603,17342.99673211969,21341.152812095825,2.9893719999999998e-12,2.9932960000000003e-12,1.451074714642567e-11,0.4375105131667161,1000000000.0,1010000000.0,0,27,
24,294.1575834238636,0.001386577032344321,6e-08,6.722206999425886e-05,3.928778336095648e-05,10542.625780674603,17939.820574322886,20682.67119359843,2.9893719999999998e-12,2.9932960000000003e-12,1.451074714642567e-11,0.4375105131667161,1000000000.0,1010000000.0,0,27,
25,295.8942536809965,0.0013408526975411989,6e-08,6.712186446399123e-05,3.899759382450442e-05,10542.625780674603,18470.559193934263,20056.07585724973,2.9893719999999998e-12,2.9932960000000003e-12,1.451074714642567e-11,0.4375105131667161,1000000000.0,1010000000.0,0,27,
26,296.48907717801245,0.0013520387205651885,6.170652726835567e-08,6.860782292717007e-05,3.9631075794526675e-05,10542.625780674603,18219.78012298978,20349.6819789205,2.9893719999999998e-12,2.9932960000000003e-12,1.449532998894221e-11,0.4562223960539246,1000000000.0,1010000000.0,0,27,
27,297.9106666556091,0.0013061384448088695,6e-08,6.852352685753481e-05,3.9539598621270015e-05,10542.625780674603,18850.73024500177,19745.613962726675,2.9893719999999998e-12,2.9932960000000003e-12,1.449532998894221e-11,0.4562223960539246,1000000000.0,1010000000.0,0,27,
28,298.97386381908353,0.0012682428665868428,6e-08,6.84290222081399e-05,3.924807458392544e-05,10542.625780674603,19798.519711941794,19148.902543649703,2.9893719999999998e-12,2.9932960000000003e-12,1.449532998894221e-11,0.4562223960539246,1000000000.0,1010000000.0,0,27,
29,299.2861600713944,0.0012802005075917627,6.158109757636568e-08,6.986155786925092e-05,3.9833528147803455e-05,10542.625780674603,19504.222498441057,19440.11139762759,2.9893719999999998e-12,2.9932960000000003e-12,1.4481001705589285e-11,0.4852422102530797,1000000000.0,1010000000.0,0,27,
30,300.8011357615792,0.0012415376758161808,6e-08,6.969384660571474e-05,3.9752361992091916e-05,10542.625780674603,20054.919479561937,18900.86149024468,2.9893719999999998e-12,2.9932960000000003e-12,1.4481001705589285e-11,0.4852422102530797,1000000000.0,1010000000.0,0,27,
31,302.0368583398555,0.001203307818922363,6e-08,6.953332080674044e-05,3.969331927002203e-05,10542.625780674603,20801.10470009193,18420.485149983877,2.9893719999999998e-12,2.9932960000000003e-12,1.4481001705589285e-11,0.4851824,1000000000.0,1010000000.0,0,27,
32,269.04549130498623,0.0011166965523305306,6e-08,6.523619011080001e-05,3.685023109037835e-05,10542.625780674603,19169.70695978366,16617.05065843176,2.9893719999999998e-12,2.9932960000000003e-12,1.2624492002564393e-11,0.4521352669130864,1000000000.0,1010000000.0,0,27,
33,312.16613466819905,0.0011705190653008887,6.528350432966729e-08,6.896289616288722e-05,3.785867250692488e-05,10542.625780674603,18218.59647857574,17432.695429963886,2.9893719999999998e-12,2.9932960000000003e-12,1.2614747845379049e-11,0.5159486822682597,1000000000.0,1010000000.0,0,27,
34,312.9059280353641,0.0011312367199595153,6.298284762482022e-08,6.891518840465929e-05,3.775197077723862e-05,10542.625780674603,18822.01422350869,16952.349795579878,2.9893719999999998e-12,2.9932960000000003e-12,1.2614747845379049e-11,0.4889605,1000000000.0,1010000000.0,0,27,
35,267.9254320286243,0.0010124379647556859,6e-08,6.094173716548939e-05,3.215649934077758e-05,10542.625780674603,15797.06723578841,14422.603451995228,2.9893719999999998e-12,2.9932960000000003e-12,1.0496635971313353e-11,0.4321825296954743,1000000000.0,1010000000.0,0,27,
36,309.10269058324764,0.0010609744342594898,6.678285550099296e-08,6.452135644978785e-05,3.312537926640152e-05,10542.625780674603,14901.386040263396,15127.84474735741,2.9893719999999998e-12,2.9932960000000003e-12,1.0490807910290583e-11,0.49086397670599685,1000000000.0,1010000000.0,0,27,
37,311.1515997530525,0.0010740680634301353,6.6920372552113e-08,6.609017849958866e-05,3.3530273411888174e-05,10542.625780674603,14688.791369455148,15339.291838046327,2.9893719999999998e-12,2.9932960000000003e-12,1.0485294172346284e-11,0.5212893401220211,1000000000.0,1010000000.0,0,27,
38,280.13473946171433,0.0009909732338606884,6e-08,6.093605490550953e-05,3.0263499622868144e-05,10542.625780674603,13005.74402287449,13485.0244488446,2.9893719999999998e-12,2.9932960000000003e-12,9.287115311302423e-12,0.4594977042213062,1000000000.0,1010000000.0,0,27,
39,331.10250247171615,0.001036181828521218,6.464989028934525e-08,6.446074175340139e-05,3.121694304836065e-05,10542.625780674603,12444.09176084299,14058.691403350025,2.9893719999999998e-12,2.9932960000000003e-12,9.282360385033346e-12,0.5224529974366049,1000000000.0,1010000000.0,0,27,
40,154.7989408642168,0.0007860984841902164,6e-08,3.991581693990529e-05,1.9240223262233075e-05,10542.625780674603,6879.302885147627,8244.027659296808,2.9893719999999998e-12,2.9932960000000003e-12,5.442822574931186e-12,0.3021967753831669,1000000000.0,1010000000.0,0,27,
41,184.28770622126214,0.0008297061418102209,6.494112308059502e-08,4.3959733214076094e-05,2.0216871377282207e-05,10542.625780674603,6455.741687767379,8752.484423066977,2.9893719999999998e-12,2.9932960000000003e-12,5.4420940289511354e-12,0.3392197456460481,1000000000.0,1010000000.0,0,27,
42,221.44501075262212,0.0008668465427713728,6.764601634590099e-08,4.8114585487829145e-05,2.1100772832737108e-05,10542.625780674603,6169.116794666225,9162.692445232944,2.9893719999999998e-12,2.9932960000000003e-12,5.441362201059245e-12,0.3772433246205722,1000000000.0,1010000000.0,0,27,
43,264.40380774426905,0.0009071928300979864,6.93298061654326e-08,5.2057510330039e-05,2.1866201442866396e-05,10542.625780674603,5892.536900577809,9507.373967235375,2.9893719999999998e-12,2.9932960000000003e-12,5.440448858658508e-12,0.41359199643072386,1000000000.0,1010000000.0,0,27,
44,111.02990293792266,0.0006039407330162895,6e-08,2.131273189340547e-05,7.811517903547575e-06,10542.625780674603,1558.9742336237314,3451.622009908553,2.9893719999999998e-12,2.9932960000000003e-12,1.360112214664627e-12,0.1613784936288886,1000000000.0,1010000000.0,0,27,
45,127.26933740100118,0.0006165551761134322,6.833560746504336e-08,2.3331114888696003e-05,9.011104121014942e-06,10542.625780674603,1523.2068177844194,3532.726472510047,2.9893719999999998e-12,2.9932960000000003e-12,1.3593602140023826e-12,0.22131473377341343,1000000000.0,1010000000.0,0,27,
46,147.5951272616011,0.0006424470284292311,7.133374121994641e-08,2.6018428926584464e-05,9.950023967603489e-06,10542.625780674603,1479.9005218248087,3639.6339348950055,2.9893719999999998e-12,2.9932960000000003e-12,1.3589598177352126e-12,0.2622705450363307,1000000000.0,1010000000.0,0,27,
47,172.63370536677695,0.0006721385571989542,7.250383819110602e-08,2.9303880957724874e-05,1.0494496870877086e-05,10542.625780674603,1440.4980346064222,3739.296610401801,2.9893719999999998e-12,2.9932960000000003e-12,1.3587752719129513e-12,0.3043419574316554,1000000000.0,1010000000.0,0,27,
48,54.28966093406926,0.00034962750036433154,6e-08,7.4282559812698494e-06,2.6236242177192706e-06,10542.625780674603,360.12450865160554,934.8241526004504,2.9893719999999998e-12,2.9932960000000003e-12,3.396938179782378e-13,0.07557814686678624,1000000000.0,1010000000.0,0,27,
49,60.35934525402325,0.0003110979300118213,6e-08,8.39853404648545e-06,3.6398519053202394e-06,10542.625780674603,375.7728390016318,907.4404799869026,2.9893719999999998e-12,2.9932960000000003e-12,3.395972656821935e-13,0.13226175701687592,1000000000.0,1010000000.0,0,27,
50,69.47863891688594,0.00031655506918271554,6.368457816114534e-08,9.44771909492964e-06,4.310953577465296e-06,10542.625780674603,370.0824124198863,928.7225171495905,2.9893719999999998e-12,2.9932960000000003e-12,3.39312209267622e-13,0.19781119050391566,1000000000.0,1010000000.0,0,27,
51,81.92899623422593,0.0003342281486402166,6.564897023050548e-08,1.0954554768409224e-05,4.704371080819705e-06,10542.625780674603,358.19832307480846,963.6046639529229,2.9893719999999998e-12,2.9932960000000003e-12,3.3906164471226097e-13,0.23445652156385255,1000000000.0,1010000000.0,0,27,
52,96.84280885825527,0.00035378247206692615,6.65184993679273e-08,1.2920125254484705e-05,5.056538116168616e-06,10542.625780674603,347.24248976228887,997.427127309146,2.9893719999999998e-12,2.9932960000000003e-12,3.3879831991436493e-13,0.2677036059516615,1000000000.0,1010000000.0,0,27,
53,99.34794651484142,0.00034631934176746723,6e-08,1.2619334628116265e-05,4.755517744398849e-06,10542.625780674603,277.38962989545115,890.857924192911,2.9893719999999998e-12,2.9932960000000003e-12,2.8417914977749964e-13,0.25726870539979024,1000000000.0,1010000000.0,0,27,
54,53.751203733908994,0.00022664601517297182,6e-08,5.898869164600379e-06,2.2469824156047117e-06,10542.625780674603,84.19731778127033,351.3075934530643,2.9893719999999998e-12,2.9932960000000003e-12,9.461065195093477e-14,0.12527024976829415,1000000000.0,1010000000.0,0,27,
55,61.04539178054456,0.00021750005287292633,6.07857178966458e-08,6.557282842717745e-06,2.972436816070672e-06,10542.625780674603,90.88198774883801,356.7264082341928,2.9893719999999998e-12,2.9932960000000003e-12,9.460536960079407e-14,0.21796187455922683,1000000000.0,1010000000.0,0,27,
56,71.8627146542846,0.00022978204280946584,6.17550645123401e-08,7.56250269858115e-06,3.2744609970846284e-06,10542.625780674603,90.66898539872507,369.75618113491055,2.9893719999999998e-12,2.9932960000000003e-12,9.459621375046407e-14,0.2632707802646522,1000000000.0,1010000000.0,0,27,
57,17.965678663571154,5.7445510702366454e-05,6e-08,1.8906256746452874e-06,8.186152492711571e-07,10542.625780674603,22.667246349681264,92.43904528372764,2.9893719999999998e-12,2.9932960000000003e-12,2.3649053437616023e-14,0.054543325000000004,1000000000.0,1010000000.0,0,27,
58,19.77634399268495,5.7156232049751904e-05,6e-08,2.094209576246435e-06,1.1156033630286625e-06,10542.625780674603,25.35414468281068,97.8949967728219,2.9893719999999998e-12,2.9932960000000003e-12,2.364905297111514e-14,0.08779147844644408,1000000000.0,1010000000.0,0,27,
59,22.022163369721582,5.921242966464039e-05,6e-08,2.320199469320762e-06,1.3939493892405277e-06,10542.625780674603,27.795518134558478,105.17029417312281,2.9893719999999998e-12,2.9932960000000003e-12,2.364904929823966e-14,0.13740912935863223,1000000000.0,1010000000.0,0,27,
60,25.081682935801922,6.36185690213751e-05,6.11147866905871e-08,2.560097113437415e-06,1.6087870228986046e-06,10542.625780674603,29.505745650581257,114.06671440012707,2.9893719999999998e-12,2.9932960000000003e-12,2.3649038737880197e-14,0.20126255375724827,1000000000.0,1010000000.0,0,27,
61,28.676450886404922,6.935713119245114e-05,6.140439644018515e-08,2.8878742076248868e-06,1.733080749029279e-06,10542.625780674603,30.114672700634546,122.36462850236595,2.9893719999999998e-12,2.9932960000000003e-12,2.3649019733165112e-14,0.25883665577821113,1000000000.0,1010000000.0,0,27,
62,25.44723663366205,6.524537935367411e-05,6e-08,2.47092358321696e-06,1.3574458122031902e-06,10542.625780674603,21.7394470010071,98.08918495531816,2.9893719999999998e-12,2.9932960000000003e-12,1.6662087058829512e-14,0.22245064633882813,1000000000.0,1010000000.0,0,27,
63,29.045360460065236,7.06506672524161e-05,6.069274431134138e-08,2.763646511016021e-06,1.501217240559449e-06,10542.625780674603,22.53654665771059,104.9548667258185,2.9893719999999998e-12,2.9932960000000003e-12,1.666207980434673e-14,0.2972197348472443,1000000000.0,1010000000.0,0,27,
64,7.26134011501631,1.7662666813104023e-05,6e-08,6.909116277540054e-07,3.753043101398623e-07,10542.625780674603,5.634136664427647,26.238716681454633,2.9893719999999998e-12,2.9932960000000003e-12,4.165519951086683e-15,0.06148627500000001,1000000000.0,1010000000.0,0,27,
65,7.7900840822085975,1.8479232616315462e-05,6e-08,7.47027066204152e-07,4.703444573475843e-07,10542.625780674603,5.934653717219335,28.719749054756885,2.9893719999999998e-12,2.9932960000000003e-12,4.1655191115602155e-15,0.1036114201037065,1000000000.0,1010000000.0,0,27,
66,8.306196113504143,1.9590387495465017e-05,6e-08,8.067144353530991e-07,5.620574971328731e-07,10542.625780674603,6.1765850196618075,31.725789243409555,2.9893719999999998e-12,2.9932960000000003e-12,4.165518774218773e-15,0.17630440777800835,1000000000.0,1010000000.0,0,27,
67,8.885587215887567,2.1071458379908664e-05,6.15085238836915e-08,8.782911041595099e-07,6.383367929293201e-07,10542.625780674603,6.375004996783877,34.7036331018054,2.9893719999999998e-12,2.9932960000000003e-12,4.165519077634921e-15,0.26433899582819503,1000000000.0,1010000000.0,0,27,
68,9.554578382312927,2.321638677893586e-05,6.349376818810913e-08,9.773599206674336e-07,6.971974596782346e-07,10542.625780674603,6.49735201500171,37.49399396842639,2.9893719999999998e-12,2.9932960000000003e-12,4.165519602870562e-15,0.3551703047329483,1000000000.0,1010000000.0,0,27,
69,2.3886445955782314,5.804096694733967e-06,6e-08,2.443399801668584e-07,1.7429936491955865e-07,10542.625780674603,1.6243380037504274,9.373498492106599,2.9893719999999998e-12,2.9932960000000003e-12,1.0413799007176406e-15,0.075771275,1000000000.0,1010000000.0,0,27,
70,2.439560323227089,6.263673988037108e-06,6.154323580557899e-08,2.618562715676351e-07,2.001757251823379e-07,10542.625780674603,1.6372433688051182,10.060217333774595,2.9893719999999998e-12,2.9932960000000003e-12,1.0413799048484872e-15,0.13259973125,1000000000.0,1010000000.0,0,27,
71,2.4933847057236416,6.767845401706258e-06,6.19209756982235e-08,2.8207358909250265e-07,2.2839463832175363e-07,10542.625780674603,1.6527249123227463,10.797554847755713,2.9893719999999998e-12,2.9932960000000003e-12,1.0413799182414612e-15,0.23204952968749998,1000000000.0,1010000000.0,0,27,
72,2.5516262411091724,7.360522676694008e-06,6.339853611764975e-08,3.0493261835412874e-07,2.5195270642342055e-07,10542.625780674603,1.6639142962562707,11.531565989272753,2.9893719999999998e-12,2.9932960000000003e-12,1.041379958900984e-15,0.36008845958137026,1000000000.0,1010000000.0,0,27,
73,2.6128782461280493,8.041737849922464e-06,6.592057920914229e-08,3.269700121474254e-07,2.711365598914746e-07,10542.625780674603,1.6693900404175968,12.199373935821024,2.9893719999999998e-12,2.9932960000000003e-12,1.0413800452145376e-15,0.49766751560622874,1000000000.0,1010000000.0,0,27,
74,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
75,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
76,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
77,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
78,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
79,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
80,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
81,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
82,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
83,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
84,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
85,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
86,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
87,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
88,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
89,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
90,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
91,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
92,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
93,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
94,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
95,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
96,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
97,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
98,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
99,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
100,0.6532195615320124,2.010434462480616e-06,6e-08,8.174250303685633e-08,6.778413997286866e-08,10542.625780674603,0.4173475101043991,3.0498434839552555,2.9893719999999998e-12,2.9932960000000003e-12,2.6034501130363435e-16,0.09790727499999996,1000000000.0,1010000000.0,0,27,
